fid,UIDN,OIDN,CODSEC,NISCODE,SEC,SECNAAM,LENGTE,OPPERVL,STDEEL
"1","19880","4074",24062A61-,"24062",A61-,KAREELVELD,5896.98,1529378.12,LEUVEN NOORD
"2","20055","4078",24062B100,"24062",B100,PUTKAPEL-CENTRUM,5277.17,980502.76,WILSELE WIJGMAAL
"3","20056","4087",24062B34-,"24062",B34-,ROESELBERG,4205.81,643689.23,WILSELE WIJGMAAL
"4","20057","4088",24062B352,"24062",B352,KOKSIJDEWIJK,2724.5,185181.29,WILSELE WIJGMAAL
"5","20058","4090",24062B391,"24062",B391,LANGEVELD-VERSPREIDE BEWONING,8857.18,1369132.57,WILSELE WIJGMAAL
"6","20059","4091",24062B423,"24062",B423,WILSELE HOEK,2215.01,166452.07,WILSELE WIJGMAAL
"7","20060","4135","24062D390","24062",D390,HEVERLEEBOS,14457.02,4674154.96,HEVERLEE WEST
"8","20061","4136","24062D410","24062",D410,CAMPUS HEVERLEE,6588.37,1672303.78,HEVERLEE WEST
"9","20062","4139","24062D591","24062",D591,ROTSPOEL-VERSPREIDE BEWONING,13280.93,2586659.12,HEVERLEE WEST
"10","20006","4145","24062D691","24062",D691,ALSEMBERG,9222.26,1667850.94,HEVERLEE WEST
"11","20599","4118",24062C61-,"24062",C61-,KESSELBERG - LEMING,6597.48,1027326.23,KESSEL-LO NOORD
"12","20600","4125",24062D04-,"24062",D04-,HEVERLEE - WAVERSE BAAN,4821.24,1322015.66,HEVERLEE WEST
"13","20601","4127",24062D10-,"24062",D10-,SINT-ANTONIUS,1613.98,120958.85,HEVERLEE OOST
"14","20602","4129",24062D19-,"24062",D19-,HEVERLEE KERKHOF,2148.47,257082.9,HEVERLEE OOST
"15","4082","4082",24062B191,"24062",B191,PUTKAPEL-VERSPREIDE BEWONING,10791.94,1910676.11,WILSELE WIJGMAAL
"16","4084","4084",24062B300,"24062",B300,SINT-MARTINUS,2573.98,295779.59,WILSELE WIJGMAAL
"17","4085","4085",24062B32-,"24062",B32-,WILSELE OUD CENTRUM,2264.13,206066.87,WILSELE WIJGMAAL
"18","4086","4086",24062B33-,"24062",B33-,WILSELE MECHELSE POORT,2486.41,215118.26,WILSELE WIJGMAAL
"19","4089","4089",24062B37-,"24062",B37-,ZWAAIKOM,2466.92,178993.6,WILSELE WIJGMAAL
"20","4150","4150","24062E742","24062",E742,PREDIKHERENBRUG,4291.76,651432.93,KESSEL-LO ZUID
"21","4126","4126",24062D05-,"24062",D05-,MOLENBEEK,2092.63,216398.86,HEVERLEE OOST
"22","4131","4131",24062D21-,"24062",D21-,MATADI,2653.53,292628.52,HEVERLEE OOST
"23","4137","4137","24062D500","24062",D500,EGENHOVEN,2376.97,270370.88,HEVERLEE WEST
"24","4141","4141",24062D61-,"24062",D61-,TER ELST,1781.95,128474.29,HEVERLEE WEST
"25","4146","4146",24062E70-,"24062",E70-,IJZEREN BRUGJE,2285.18,158024.74,HEVERLEE OOST
"26","4148","4148",24062E72-,"24062",E72-,ZIEKELINGEN,1355.45,100292.97,HEVERLEE OOST
"27","4096","4096",24062C04-,"24062",C04-,VIJVERPARK,2420.46,326000.92,KESSEL-LO NOORD
"28","4097","4097",24062C05-,"24062",C05-,KESSEL-LO ACHTER CENTRALE,1949.77,133660.23,KESSEL-LO ZUID
"29","4098","4098",24062C0AJ,"24062",C0AJ,VORMINGSSTATION,5608.67,998236.31,KESSEL-LO NOORD
"30","4100","4100",24062C11-,"24062",C11-,VLIERBEEK,2669.58,350666.94,KESSEL-LO NOORD
"31","4101","4101",24062C12-,"24062",C12-,HEUVELHOF,2178.18,252282.1,KESSEL-LO NOORD
"32","4102","4102",24062C13-,"24062",C13-,PINKSTERMOLEN,5576.96,933648.25,KESSEL-LO NOORD
"33","4111","4111",24062C43-,"24062",C43-,TROLIEBERG,3873.17,732297.15,KESSEL-LO ZUID
"34","4112","4112",24062C44-,"24062",C44-,DON BOSCO,2584.41,373262.42,KESSEL-LO ZUID
"35","4113","4113",24062C50-,"24062",C50-,BENEDEN KESSEL,5612.56,817761.04,KESSEL-LO NOORD
"36","4114","4114",24062C51-,"24062",C51-,HET BROEK,3185.7,420653.83,KESSEL-LO NOORD
"37","4128","4128",24062D11-,"24062",D11-,H. HART,2600.43,266755.11,HEVERLEE OOST
"38","4130","4130","24062D209","24062",D209,HEVERLEE PARK,3976.31,444503.67,HEVERLEE OOST
"39","4132","4132",24062D22-,"24062",D22-,SAFFRANENBERG,3131.86,440288.77,HEVERLEE OOST
