fid,ZONENUMMER,STGB,STGB_L,NIS_GEM,NIS_GEM_L,VREGIO,VREGIO_L,leuven_statsec_fid,leuven_statsec_UIDN,leuven_statsec_OIDN,leuven_statsec_CODSEC,leuven_statsec_SEC,leuven_statsec_SECNAAM,leuven_statsec_LENGTE,leuven_statsec_OPPERVL,leuven_statsec_STDEEL
"1","1","4",BUITENGEBIED_2,"11001",11001 AARTSELAAR,"2",ANTWERPEN,,,,,,,,,
"2","2","5",BUITENGEBIED_3,"0",0 ANTWERPEN/SCHOTEN/ZWIJNDRECHT,"2",ANTWERPEN,,,,,,,,,
"3","3","4",BUITENGEBIED_2,"11002",11002 ANTWERPEN,"2",ANTWERPEN,,,,,,,,,
"4","4","5",BUITENGEBIED_3,"11002",11002 ANTWERPEN,"2",ANTWERPEN,,,,,,,,,
"5","5","5",BUITENGEBIED_3,"0",0 ANTWERPEN/BRASSCHAAT/BRECHT/ESSEN/...,"2",ANTWERPEN,,,,,,,,,
"6","6","3",BUITENGEBIED_1,"11004",11004 BOECHOUT,"2",ANTWERPEN,,,,,,,,,
"7","7","3",BUITENGEBIED_1,"11004",11004 BOECHOUT,"2",ANTWERPEN,,,,,,,,,
"8","8","3",BUITENGEBIED_1,"11005",11005 BOOM,"2",ANTWERPEN,,,,,,,,,
"9","9","4",BUITENGEBIED_2,"11007",11007 BORSBEEK,"2",ANTWERPEN,,,,,,,,,
"10","10","5",BUITENGEBIED_3,"0",0 BRECHT/SCHILDE/ZOERSEL/MALLE,"2",ANTWERPEN,,,,,,,,,
"11","11","4",BUITENGEBIED_2,"11013",11013 EDEGEM,"2",ANTWERPEN,,,,,,,,,
"12","12","4",BUITENGEBIED_2,"11018",11018 HEMIKSEM,"2",ANTWERPEN,,,,,,,,,
"13","13","3",BUITENGEBIED_1,"11021",11021 HOVE,"2",ANTWERPEN,,,,,,,,,
"14","14","3",BUITENGEBIED_1,"11024",11024 KONTICH,"2",ANTWERPEN,,,,,,,,,
"15","15","3",BUITENGEBIED_1,"11024",11024 KONTICH,"2",ANTWERPEN,,,,,,,,,
"16","16","3",BUITENGEBIED_1,"11024",11024 KONTICH,"2",ANTWERPEN,,,,,,,,,
"17","17","3",BUITENGEBIED_1,"11025",11025 LINT,"2",ANTWERPEN,,,,,,,,,
"18","18","4",BUITENGEBIED_2,"11029",11029 MORTSEL,"2",ANTWERPEN,,,,,,,,,
"19","19","3",BUITENGEBIED_1,"11030",11030 NIEL,"2",ANTWERPEN,,,,,,,,,
"20","20","3",BUITENGEBIED_1,"11035",11035 RANST,"2",ANTWERPEN,,,,,,,,,
"21","21","4",BUITENGEBIED_2,"11035",11035 RANST,"2",ANTWERPEN,,,,,,,,,
"22","22","3",BUITENGEBIED_1,"11035",11035 RANST,"2",ANTWERPEN,,,,,,,,,
"23","23","3",BUITENGEBIED_1,"11035",11035 RANST,"2",ANTWERPEN,,,,,,,,,
"24","24","3",BUITENGEBIED_1,"11035",11035 RANST,"2",ANTWERPEN,,,,,,,,,
"25","25","3",BUITENGEBIED_1,"11037",11037 RUMST,"2",ANTWERPEN,,,,,,,,,
"26","26","3",BUITENGEBIED_1,"11037",11037 RUMST,"2",ANTWERPEN,,,,,,,,,
"27","27","3",BUITENGEBIED_1,"11037",11037 RUMST,"2",ANTWERPEN,,,,,,,,,
"28","28","4",BUITENGEBIED_2,"11038",11038 SCHELLE,"2",ANTWERPEN,,,,,,,,,
"29","29","4",BUITENGEBIED_2,"11039",11039 SCHILDE,"2",ANTWERPEN,,,,,,,,,
"30","30","4",BUITENGEBIED_2,"11050",11050 WIJNEGEM,"2",ANTWERPEN,,,,,,,,,
"31","31","4",BUITENGEBIED_2,"11052",11052 WOMMELGEM,"2",ANTWERPEN,,,,,,,,,
"32","32","4",BUITENGEBIED_2,"11054",11054 ZANDHOVEN,"2",ANTWERPEN,,,,,,,,,
"33","33","3",BUITENGEBIED_1,"11054",11054 ZANDHOVEN,"2",ANTWERPEN,,,,,,,,,
"34","34","3",BUITENGEBIED_1,"11054",11054 ZANDHOVEN,"2",ANTWERPEN,,,,,,,,,
"35","35","3",BUITENGEBIED_1,"11054",11054 ZANDHOVEN,"2",ANTWERPEN,,,,,,,,,
"36","36","4",BUITENGEBIED_2,"11055",11055 ZOERSEL,"2",ANTWERPEN,,,,,,,,,
"37","37","2",INVLOEDSGEBIED,"12002",12002 BERLAAR,"9",MECHELEN,,,,,,,,,
"38","38","2",INVLOEDSGEBIED,"12002",12002 BERLAAR,"9",MECHELEN,,,,,,,,,
"39","39","2",INVLOEDSGEBIED,"12002",12002 BERLAAR,"9",MECHELEN,,,,,,,,,
"40","40","2",INVLOEDSGEBIED,"12002",12002 BERLAAR,"9",MECHELEN,,,,,,,,,
"41","41","2",INVLOEDSGEBIED,"12002",12002 BERLAAR,"9",MECHELEN,,,,,,,,,
"42","42","2",INVLOEDSGEBIED,"12002",12002 BERLAAR,"9",MECHELEN,,,,,,,,,
"43","43","2",INVLOEDSGEBIED,"12002",12002 BERLAAR,"9",MECHELEN,,,,,,,,,
"44","44","2",INVLOEDSGEBIED,"12002",12002 BERLAAR,"9",MECHELEN,,,,,,,,,
"45","45","2",INVLOEDSGEBIED,"12002",12002 BERLAAR,"9",MECHELEN,,,,,,,,,
"46","46","2",INVLOEDSGEBIED,"12002",12002 BERLAAR,"9",MECHELEN,,,,,,,,,
"47","47","2",INVLOEDSGEBIED,"12002",12002 BERLAAR,"9",MECHELEN,,,,,,,,,
"48","48","2",INVLOEDSGEBIED,"12002",12002 BERLAAR,"9",MECHELEN,,,,,,,,,
"49","49","2",INVLOEDSGEBIED,"12005",12005 BONHEIDEN,"9",MECHELEN,,,,,,,,,
"50","50","2",INVLOEDSGEBIED,"12005",12005 BONHEIDEN,"9",MECHELEN,,,,,,,,,
"51","51","2",INVLOEDSGEBIED,"12005",12005 BONHEIDEN,"9",MECHELEN,,,,,,,,,
"52","52","2",INVLOEDSGEBIED,"12005",12005 BONHEIDEN,"9",MECHELEN,,,,,,,,,
"53","53","2",INVLOEDSGEBIED,"12005",12005 BONHEIDEN,"9",MECHELEN,,,,,,,,,
"54","54","2",INVLOEDSGEBIED,"12005",12005 BONHEIDEN,"9",MECHELEN,,,,,,,,,
"55","55","2",INVLOEDSGEBIED,"12005",12005 BONHEIDEN,"9",MECHELEN,,,,,,,,,
"56","56","2",INVLOEDSGEBIED,"12005",12005 BONHEIDEN,"9",MECHELEN,,,,,,,,,
"57","57","2",INVLOEDSGEBIED,"12005",12005 BONHEIDEN,"9",MECHELEN,,,,,,,,,
"58","58","2",INVLOEDSGEBIED,"12005",12005 BONHEIDEN,"9",MECHELEN,,,,,,,,,
"59","59","2",INVLOEDSGEBIED,"12005",12005 BONHEIDEN,"9",MECHELEN,,,,,,,,,
"60","60","2",INVLOEDSGEBIED,"12005",12005 BONHEIDEN,"9",MECHELEN,,,,,,,,,
"61","61","2",INVLOEDSGEBIED,"12005",12005 BONHEIDEN,"9",MECHELEN,,,,,,,,,
"62","62","2",INVLOEDSGEBIED,"12005",12005 BONHEIDEN,"9",MECHELEN,,,,,,,,,
"63","63","2",INVLOEDSGEBIED,"12005",12005 BONHEIDEN,"9",MECHELEN,,,,,,,,,
"64","64","2",INVLOEDSGEBIED,"12005",12005 BONHEIDEN,"9",MECHELEN,,,,,,,,,
"65","65","4",BUITENGEBIED_2,"12007",12007 BORNEM,"9",MECHELEN,,,,,,,,,
"66","66","3",BUITENGEBIED_1,"12009",12009 DUFFEL,"9",MECHELEN,,,,,,,,,
"67","67","2",INVLOEDSGEBIED,"12009",12009 DUFFEL,"9",MECHELEN,,,,,,,,,
"68","68","2",INVLOEDSGEBIED,"12009",12009 DUFFEL,"9",MECHELEN,,,,,,,,,
"69","69","2",INVLOEDSGEBIED,"12009",12009 DUFFEL,"9",MECHELEN,,,,,,,,,
"70","70","2",INVLOEDSGEBIED,"12009",12009 DUFFEL,"9",MECHELEN,,,,,,,,,
"71","71","2",INVLOEDSGEBIED,"12009",12009 DUFFEL,"9",MECHELEN,,,,,,,,,
"72","72","2",INVLOEDSGEBIED,"12009",12009 DUFFEL,"9",MECHELEN,,,,,,,,,
"73","73","2",INVLOEDSGEBIED,"12009",12009 DUFFEL,"9",MECHELEN,,,,,,,,,
"74","74","2",INVLOEDSGEBIED,"12009",12009 DUFFEL,"9",MECHELEN,,,,,,,,,
"75","75","2",INVLOEDSGEBIED,"12009",12009 DUFFEL,"9",MECHELEN,,,,,,,,,
"76","76","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"77","77","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"78","78","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"79","79","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"80","80","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"81","81","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"82","82","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"83","83","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"84","84","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"85","85","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"86","86","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"87","87","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"88","88","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"89","89","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"90","90","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"91","91","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"92","92","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"93","93","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"94","94","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"95","95","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"96","96","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"97","97","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"98","98","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"99","99","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"100","100","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"101","101","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"102","102","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"103","103","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"104","104","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"105","105","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"106","106","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"107","107","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"108","108","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"109","109","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"110","110","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"111","111","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"112","112","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"113","113","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"114","114","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"115","115","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"116","116","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"117","117","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"118","118","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"119","119","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"120","120","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"121","121","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"122","122","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"123","123","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"124","124","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"125","125","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"126","126","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"127","127","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"128","128","2",INVLOEDSGEBIED,"12014",12014 HEIST-OP-DEN-BERG,"9",MECHELEN,,,,,,,,,
"129","129","3",BUITENGEBIED_1,"12021",12021 LIER,"2",ANTWERPEN,,,,,,,,,
"130","130","3",BUITENGEBIED_1,"12021",12021 LIER,"2",ANTWERPEN,,,,,,,,,
"131","131","3",BUITENGEBIED_1,"12021",12021 LIER,"2",ANTWERPEN,,,,,,,,,
"132","132","3",BUITENGEBIED_1,"12021",12021 LIER,"2",ANTWERPEN,,,,,,,,,
"133","133","3",BUITENGEBIED_1,"12021",12021 LIER,"2",ANTWERPEN,,,,,,,,,
"134","134","3",BUITENGEBIED_1,"12021",12021 LIER,"2",ANTWERPEN,,,,,,,,,
"135","135","2",INVLOEDSGEBIED,"12021",12021 LIER,"2",ANTWERPEN,,,,,,,,,
"136","136","2",INVLOEDSGEBIED,"12021",12021 LIER,"2",ANTWERPEN,,,,,,,,,
"137","137","2",INVLOEDSGEBIED,"12021",12021 LIER,"2",ANTWERPEN,,,,,,,,,
"138","138","2",INVLOEDSGEBIED,"12021",12021 LIER,"2",ANTWERPEN,,,,,,,,,
"139","139","2",INVLOEDSGEBIED,"12021",12021 LIER,"2",ANTWERPEN,,,,,,,,,
"140","140","2",INVLOEDSGEBIED,"12021",12021 LIER,"2",ANTWERPEN,,,,,,,,,
"141","141","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"142","142","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"143","143","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"144","144","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"145","145","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"146","146","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"147","147","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"148","148","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"149","149","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"150","150","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"151","151","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"152","152","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"153","153","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"154","154","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"155","155","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"156","156","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"157","157","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"158","158","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"159","159","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"160","160","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"161","161","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"162","162","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"163","163","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"164","164","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"165","165","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"166","166","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"167","167","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"168","168","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"169","169","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"170","170","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"171","171","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"172","172","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"173","173","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"174","174","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"175","175","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"176","176","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"177","177","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"178","178","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"179","179","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"180","180","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"181","181","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"182","182","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"183","183","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"184","184","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"185","185","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"186","186","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"187","187","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"188","188","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"189","189","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"190","190","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"191","191","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"192","192","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"193","193","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"194","194","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"195","195","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"196","196","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"197","197","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"198","198","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"199","199","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"200","200","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"201","201","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"202","202","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"203","203","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"204","204","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"205","205","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"206","206","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"207","207","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"208","208","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"209","209","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"210","210","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"211","211","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"212","212","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"213","213","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"214","214","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"215","215","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"216","216","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"217","217","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"218","218","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"219","219","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"220","220","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"221","221","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"222","222","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"223","223","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"224","224","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"225","225","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"226","226","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"227","227","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"228","228","2",INVLOEDSGEBIED,"12025",12025 MECHELEN,"9",MECHELEN,,,,,,,,,
"229","229","3",BUITENGEBIED_1,"12026",12026 NIJLEN,"5",KEMPEN,,,,,,,,,
"230","230","3",BUITENGEBIED_1,"12026",12026 NIJLEN,"5",KEMPEN,,,,,,,,,
"231","231","3",BUITENGEBIED_1,"12026",12026 NIJLEN,"5",KEMPEN,,,,,,,,,
"232","232","2",INVLOEDSGEBIED,"12029",12029 PUTTE,"9",MECHELEN,,,,,,,,,
"233","233","2",INVLOEDSGEBIED,"12029",12029 PUTTE,"9",MECHELEN,,,,,,,,,
"234","234","2",INVLOEDSGEBIED,"12029",12029 PUTTE,"9",MECHELEN,,,,,,,,,
"235","235","2",INVLOEDSGEBIED,"12029",12029 PUTTE,"9",MECHELEN,,,,,,,,,
"236","236","2",INVLOEDSGEBIED,"12029",12029 PUTTE,"9",MECHELEN,,,,,,,,,
"237","237","2",INVLOEDSGEBIED,"12029",12029 PUTTE,"9",MECHELEN,,,,,,,,,
"238","238","2",INVLOEDSGEBIED,"12029",12029 PUTTE,"9",MECHELEN,,,,,,,,,
"239","239","2",INVLOEDSGEBIED,"12029",12029 PUTTE,"9",MECHELEN,,,,,,,,,
"240","240","2",INVLOEDSGEBIED,"12029",12029 PUTTE,"9",MECHELEN,,,,,,,,,
"241","241","2",INVLOEDSGEBIED,"12029",12029 PUTTE,"9",MECHELEN,,,,,,,,,
"242","242","2",INVLOEDSGEBIED,"12029",12029 PUTTE,"9",MECHELEN,,,,,,,,,
"243","243","2",INVLOEDSGEBIED,"12029",12029 PUTTE,"9",MECHELEN,,,,,,,,,
"244","244","2",INVLOEDSGEBIED,"12029",12029 PUTTE,"9",MECHELEN,,,,,,,,,
"245","245","2",INVLOEDSGEBIED,"12029",12029 PUTTE,"9",MECHELEN,,,,,,,,,
"246","246","2",INVLOEDSGEBIED,"12029",12029 PUTTE,"9",MECHELEN,,,,,,,,,
"247","247","2",INVLOEDSGEBIED,"12029",12029 PUTTE,"9",MECHELEN,,,,,,,,,
"248","248","2",INVLOEDSGEBIED,"12029",12029 PUTTE,"9",MECHELEN,,,,,,,,,
"249","249","2",INVLOEDSGEBIED,"12029",12029 PUTTE,"9",MECHELEN,,,,,,,,,
"250","250","2",INVLOEDSGEBIED,"12029",12029 PUTTE,"9",MECHELEN,,,,,,,,,
